product_id,product_name,product_category,brand,supplier_name,base_cost_usd,launch_date,is_active
PROD0001,UltraSound Headphones X100,Electronics,SonicPro,GlobalTech Ltd,1218.59,2020-10-12,TRUE
PROD0002,SmartVision 4K TV X100,Electronics,SonicPro,NextGen Supply,189.21,2020-03-02,TRUE
PROD0003,SmartWatch Series X100,Electronics,SonicPro,DigitalWave Corp,418.36,2023-02-23,TRUE
PROD0004,Wireless Gaming Mouse X100,Electronics,VisionX,NextGen Supply,712.19,2021-07-23,TRUE
PROD0005,Pro Laptop Gen X100,Electronics,SonicPro,DigitalWave Corp,1150.32,2020-11-14,TRUE
PROD0006,Bluetooth Speaker Max X100,Electronics,VisionX,SoundSphere Inc,213.23,2022-01-05,TRUE
PROD0007,Noise-Cancel Earbuds X100,Electronics,TechCore,NextGen Supply,468.46,2022-07-29,FALSE
PROD0008,Smart Home Hub X100,Electronics,ByteEdge,GlobalTech Ltd,1582.72,2023-02-04,TRUE
PROD0009,Portable Charger Pro X100,Electronics,TechCore,NextGen Supply,1444.87,2021-01-28,TRUE
PROD0010,4K Action Camera X100,Electronics,SonicPro,GlobalTech Ltd,1092.34,2020-06-12,TRUE
PROD0011,Mechanical Keyboard X100,Electronics,VisionX,GlobalTech Ltd,650.25,2024-09-04,TRUE
PROD0012,Gaming Monitor Ultra X100,Electronics,TechCore,DigitalWave Corp,634.61,2021-06-30,TRUE
PROD0013,Wireless Charging Pad X100,Electronics,SonicPro,NextGen Supply,1051.0,2021-05-16,TRUE
PROD0014,Smart Doorbell Cam X100,Electronics,VisionX,CircuitHub Co,649.19,2023-08-03,TRUE
PROD0015,Tablet Pro X100,Electronics,ByteEdge,DigitalWave Corp,1129.06,2024-05-08,TRUE
PROD0016,VR Headset Lite X100,Electronics,SonicPro,DigitalWave Corp,1344.78,2022-04-01,TRUE
PROD0017,Wi-Fi Mesh Router X100,Electronics,TechCore,GlobalTech Ltd,384.27,2024-11-29,TRUE
PROD0018,External SSD Drive X100,Electronics,TechCore,DigitalWave Corp,1083.18,2023-08-09,TRUE
PROD0019,Smart LED Strip X100,Electronics,NovaTech,DigitalWave Corp,469.02,2023-02-23,TRUE
PROD0020,Drone Mini Pro X100,Electronics,ByteEdge,SoundSphere Inc,1227.18,2023-04-10,TRUE
PROD0021,Smart Thermostat X100,Electronics,NovaTech,SoundSphere Inc,397.38,2022-11-09,TRUE
PROD0022,Fitness Tracker Band X100,Electronics,NovaTech,GlobalTech Ltd,1240.97,2020-11-09,TRUE
PROD0023,Digital Drawing Tablet X100,Electronics,VisionX,CircuitHub Co,990.35,2023-05-05,TRUE
PROD0024,Webcam 4K Studio X100,Electronics,NovaTech,NextGen Supply,447.85,2020-01-24,TRUE
PROD0025,Portable Projector X100,Electronics,SonicPro,NextGen Supply,1233.26,2021-11-27,TRUE
PROD0026,Smart Air Purifier X100,Electronics,SonicPro,SoundSphere Inc,736.17,2024-01-18,TRUE
PROD0027,Robot Vacuum X X100,Electronics,TechCore,NextGen Supply,1250.69,2020-08-05,TRUE
PROD0028,Smart Fridge Panel X100,Electronics,TechCore,NextGen Supply,1010.11,2024-04-10,TRUE
PROD0029,Electric Toothbrush Pro X100,Electronics,VisionX,NextGen Supply,1551.88,2020-01-02,TRUE
PROD0030,Smart Scale X100,Electronics,ByteEdge,SoundSphere Inc,820.83,2022-01-13,TRUE
PROD0031,UltraSound Headphones V2,Electronics,TechCore,DigitalWave Corp,143.59,2020-06-10,TRUE
PROD0032,SmartVision 4K TV V2,Electronics,SonicPro,CircuitHub Co,1335.7,2022-12-26,TRUE
PROD0033,SmartWatch Series V2,Electronics,VisionX,DigitalWave Corp,1089.96,2020-12-04,TRUE
PROD0034,Wireless Gaming Mouse V2,Electronics,TechCore,NextGen Supply,1424.4,2021-03-09,TRUE
PROD0035,Pro Laptop Gen V2,Electronics,ByteEdge,DigitalWave Corp,1173.61,2023-10-07,TRUE
PROD0036,Bluetooth Speaker Max V2,Electronics,TechCore,CircuitHub Co,1467.14,2021-05-22,TRUE
PROD0037,Noise-Cancel Earbuds V2,Electronics,VisionX,GlobalTech Ltd,584.14,2021-04-16,TRUE
